# Smart Blogger Power Words - https://smartblogger.com/power-words/
# fear words
agony (n)
apocalypse (n)
armageddon (n)
assault (n)
backlash (n)
beating (n)
beware (v)
blinded (adj)
blood (n)
bleeding (adj)
bloody (adj)
bleeds (v)
bloodbath (n)
bloodcurdling (adj)
bomb (n)
bomb (v)
buffoon (n)
buffoonery (n)
bumbling (adj)
cadaver (n)
catastrophe (n)
caution (n)
cautious (adj)
cautiously (adv)
collapse (n)
corpse (n)
crazy (adj)
cripple (n)
cripple (v)
crippled (adj)
crisis (n)
danger (n)
dangerous (adj)
dangerously (adv)
deadly (adj)
death (n)
destroy (v)
devastating (adj)
disastrous (adj)
disastrously (adv)
drowning (adj)
dumb (adj)
embarrass (v)
fail (v)
failure (n)
failed (adj)
feeble (adj)
fired (adj)
fool (n)
fool (v)
foolish (adj)
foolishly (adv)
fooled (adj)
frantic (adj)
franticly (adv)
frightening (adv)
gambling (n)
gullible (adj)
hack (n)
hack (n)
hacked (adj)
hazardous (adj)
hoax (n)
holocaust (n)
horrific (adj)
hurricane (n)
insidious (adj)
invasion (n)
jail (n)
jail (v)
jailed (adj)
jeopardy (n)
lawsuit (n)
looming (adj)
lunatic (n)
lurking (adj)
meltdown (n)
mired (v)
mired (adj)
mistake (n)
mistaken (adj)
mistakenly (adv)
murder (n)
murdered (adj)
nightmare (n)
nightmareish (adj)
pain (n)
painful (adj)
painfully (adv)
pale (n)
pale (adj)
panic (n)
panic-stricken (adj)
peril (n)
perilous (adj)
piranha (n)
pitfall (n)
plague (n)
plagued (adj)
play (n)
played (v)
playful (adj)
playfully (adv)
plummet (n)
plummeted (v)
plunge (n)
plunged (v)
poison (n)
poison (v)
poisoned (adj)
pummel (v)
pummeled (adj)
poor (n,adj)
prison (n)
pus (n)
reckoning (n)
refugee (n)
revenge (n)
risk (n,v)
risky (adj)
scare (n,v)
scary (adj)
scream (n,v)
sear (v)
searing (adj)
shatter (v)
shellacking (n)
silly (adj)
slaughter (n,v)
slave (n,v)
smash (v)
smashing (adj)
strangle (v)
stupid (adj)
suck (v)
tailspin (n,v)
tank (n,v))
targeted (adj,v)
teeter (v)
teetering (adj)
terror (n)
terrorize (v) 
terrorist (n)
toxic (adj)
trap (n,v)
trapped (adj)
vapor (n)
vaporize (v)
victim (n)
victimized (adj)
volatile (adj)
vulnerable (adj)
warning (n,v)
worry (n,v)
worrysome (adj)
wound (n,v)
wounded (adj)
# pep words
brazen
crave
depraved
dirty
exposed
forbidden
hypnotic
lascivious
lick
lonely
lust
naked
naughty
provocative
scandalous
sensual
sex
shameless
sinful
sleazy
sleeping
spank
steamy
sweaty
tantalizing
tawdry
thrilling
uncensored
wanton
whip
# lacivious words
brazen
crave
depraved
dirty
exposed
forbidden
hypnotic
lascivious
lick
lonely
lust
naked
naughty
provocative
scandalous
sensual
sex
shameless
sinful
sleazy
sleeping
spank
steamy
sweaty
tantalizing
tawdry
thrilling
uncensored
wanton
whip
# anger words
buse
arrogant
ass kicking
backstabbing
beat down
bullshit
bully
coward
crooked
crush
disgusting
evil
force-fed
foul
hate
know it all
lies
loathsome
loser
lying
maul
money-grubbing
nazi
no good
obnoxious
payback
pound
preposterous
punish
revolting
ruthless
sick and tired
smug
sniveling
snob
snooty
snotty
stuck up
underhanded
# money words
bargain
best
billion
bonanza
cash
cheap
discount
dollar
double
explode
extra
feast
fortune
free
freebie
frenzy
frugal
gift
greatest
inexpensive
jackpot
luxurious
marked down
massive
money
nest egg
pay zero
prize
profit
quadruple
reduced
rich
savings
six-figure
skyrocket
soaring
surge
treasure
triple
whopping
# safe words
anonymous
authentic
backed
best-selling
cancel anytime
certified
endorsed
guaranteed
ironclad
lifetime
moneyback
no obligation
no questions asked
no risk
no strings attached
official
privacy
protected
proven
recession-proof
refund
research
results
secure
tested
try before you buy
verify
unconditional
# off limit words
backdoor
banned
behind the scenes
black market
blacklisted
bootleg
censored
concealed
confessions
confidential
controversial
covert
cover-up
forbidden
forgotten
hidden
illegal
insider
lost
off-limits
outlawed
private
secrets
smuggled
strange
unauthorized
withheld
